(0.0,8.51032770604e-16)
(0.01,1.00009917879e-11)
(0.02,2.00010012602e-11)
(0.03,3.00011906142e-11)
(0.04,4.00014108501e-11)
(0.05,5.00018279764e-11)
(0.06,6.000196361e-11)
(0.07,7.00024753663e-11)
(0.08,8.00027067574e-11)
(0.09,9.00031686145e-11)
(0.1,1.00003883952e-10)
(0.11,1.1000450809e-10)
(0.12,1.20005036214e-10)
(0.13,1.30005862507e-10)
(0.14,1.40007027753e-10)
(0.15,1.50007920452e-10)
(0.16,1.60009427568e-10)
(0.17,1.70010913116e-10)
(0.18,1.80012628683e-10)
(0.19,1.90014609804e-10)
(0.2,2.000168976e-10)
(0.21,2.100195397e-10)
(0.22,2.20022234213e-10)
(0.23,2.30026116645e-10)
(0.24,2.40030190244e-10)
(0.25,2.50034899132e-10)
(0.26,2.60040345024e-10)
(0.27,2.70046647242e-10)
(0.28,2.80053280041e-10)
(0.29,2.90061654472e-10)
(0.3,3.00072232545e-10)
(0.31,3.1008365549e-10)
(0.32,3.20096964983e-10)
(0.33,3.30112511924e-10)
(0.34,3.401307293e-10)
(0.35,3.50152157714e-10)
(0.36,3.60177480741e-10)
(0.37,3.70207574334e-10)
(0.38,3.80243576352e-10)
(0.39,3.90286985064e-10)
(0.4,4.00339799401e-10)
(0.41,4.10404719567e-10)
(0.42,4.20485435003e-10)
(0.43,4.30587038948e-10)
(0.44,4.40716626704e-10)
(0.45,4.50884160635e-10)
(0.46,4.61103722781e-10)
(0.47,4.71395330999e-10)
(0.48,4.81787574738e-10)
(0.49,4.92321443312e-10)
(0.5,5.03055889571e-10)
(0.51,5.14075919428e-10)
(0.52,5.25504358047e-10)
(0.53,5.3751896794e-10)
(0.54,5.50377356968e-10)
(0.55,5.64453222878e-10)
(0.56,5.80289090604e-10)
(0.57,5.98673031757e-10)
(0.58,6.20750229617e-10)
(0.59,6.48185114692e-10)
(0.6,6.83396764317e-10)
(0.61,7.29900168856e-10)
(0.62,7.92799887605e-10)
(0.63,8.79501810032e-10)
(0.64,1.00073441709e-09)
(0.65,1.17200360832e-09)
(0.66,1.41564304948e-09)
(0.67,1.76365773076e-09)
(0.68,2.26157271062e-09)
(0.69,2.97345014436e-09)
(0.7,3.988048166e-09)
(0.71,5.42564586773e-09)
(0.72,7.4442225146e-09)
(0.73,1.02424571758e-08)
(0.74,1.4055821853e-08)
(0.75,1.91419915262e-08)
(0.76,2.57543947922e-08)
(0.77,3.41082976192e-08)
(0.78,4.43495444582e-08)
(0.79,5.65370354828e-08)
(0.8,7.0644157946e-08)
(0.81,8.65757996633e-08)
(0.82,1.04192442483e-07)
(0.83,1.23333292472e-07)
(0.84,1.4383399592e-07)
